"recipient_fec_id","recipeint_committee","amount","expended","affiliation","giving_fec_id","giving_committee","fec_file","transaction_id","form_type","purpose","memo"
"C00140715","HOYER FOR CONGRESS",5000,"2019-01-09","DEM","C00104802","DELTA AIR LINES PAC",1335267,"B33AF867EA597423FAD0","SB23","VOID AFTER 90 DAYS",
"C00503052","JEFFRIES FOR CONGRESS",5000,"2019-01-09","DEM","C00104802","DELTA AIR LINES PAC",1335267,"B45DE3F943E5F4B66B67","SB23","VOID AFTER 90 DAYS",
"C00193342","MCCONNELL SENATE COMMITTEE",2500,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335267,"BE9DE80CE00734415A87","SB23","VOID AFTER 90 DAYS",
"C00506931","FRIENDS FOR CHRIS STEWART INC",2500,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335267,"BCAD780EDBDE6401BA5B","SB23","VOID AFTER 90 DAYS",
"C00506931","FRIENDS FOR CHRIS STEWART INC",2500,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335274,"BCAD780EDBDE6401BA5B","SB23",,"SEE REDESIGNATION BELOW"
"C00313247","ROBERT ADERHOLT FOR CONGRESS",1000,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335267,"B3346D976961C4186ABC","SB23","VOID AFTER 90 DAYS",
"C00657833","GUY FOR CONGRESS",1000,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335267,"BFF851E4B0FB7429983F","SB23","2018 GENERAL ELECTION DEBT RETIREMENT",
"C00559393","DAN NEWHOUSE FOR CONGRESS",1000,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335267,"BE6A2109B0710480CBC1","SB23","VOID AFTER 90 DAYS",
"C00657833","GUY FOR CONGRESS",-1000,"2019-01-09","REP","C00104802","DELTA AIR LINES PAC",1335267,"BA669F0962A3948FDBB2","SB23","VOID VOID AFTER 90 DAYS",
"C00590463","TREY FOR CONGRESS",-1500,"2019-01-09","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B703357","SB23","CONTRIBUTION","VOIDED ORIGINAL CHECK DATED 09 18 18"
"C00313510","PASCRELL FOR CONGRESS INC",-1500,"2019-01-09","DEM","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B703346","SB23","CONTRIBUTION","VOIDED ORIGINAL CHECK DATED 09 18 18"
"C00551275","FRENCH HILL FOR ARKANSAS",-1000,"2019-01-17","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B689053","SB23","CONTRIBUTION","VOIDED ORIGINAL CHECK DATED 06 01 18"
"C00273169","MALONEY FOR CONGRESS",1000,"2019-01-18","DEM","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715257","SB23","CONTRIBUTION",
"C00640623","DOUG JONES FOR SENATE COMMITTE",1000,"2019-01-18","DEM","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715261","SB23","CONTRIBUTION",
"C00492454","CORY GARDNER FOR SENATE",1000,"2019-01-18","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715259","SB23","CONTRIBUTION",
"C00475392","CHRIS COONS FOR DELAWARE",1000,"2019-01-18","DEM","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715260","SB23","CONTRIBUTION",
"C00590778","LISA BLUNT ROCHESTER FOR CONGRESS",1000,"2019-01-18","DEM","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715258","SB23","CONTRIBUTION",
"C00492454","CORY GARDNER FOR SENATE",1000,"2019-01-24","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715508","SB23","CONTRIBUTION",
"C00317503","ENZI FOR US SENATE",1000,"2019-01-24","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715506","SB23","CONTRIBUTION",
"C00238907","THE REED COMMITTEE",1000,"2019-01-24","DEM","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1316134,"B715507","SB23","CONTRIBUTION",
"C00499236","GEORGE HOLDING",2500,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"BC5EB6165CEBCEA371B","SB23","2020 PRIMARY",
"C00373001","CITIZENS FOR TURNER",2500,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"AFCE1814B04648FEC9C","SB23","2020 PRIMARY",
"C00545673","BYRNE FOR CONGRESS",2000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"8D7DFE8704DB49310CD","SB23","2020 PRIMARY",
"C00438713","FRIENDS OF MARK WARNER",1500,"2019-01-28","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"32F22758CF656C9A4B2","SB23","2020 PRIMARY",
"C00504704","CRAMER FOR SENATE",1500,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"0C190C10F355FA666D6","SB23","2024 PRIMARY",
"C00279851","FRIENDS OF BENNIE THOMPSON",1500,"2019-01-28","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"20ED9D1A08256F833A6","SB23","2020 PRIMARY",
"C00467571","ANDY BARR FOR CONGRESS INC",1500,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"B770B13B54E421CDA94","SB23","2020 PRIMARY",
"C00393629","MCHENRY FOR CONGRESS",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"AB0EFE99E8311574788","SB23","2020 PRIMARY",
"C00590463","TREY FOR CONGRESS",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"B9C95E1DC48ADBB5A9C","SB23","2020 PRIMARY",
"C00468579","JACKIE WALORSKI",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"F7DE3E54D76C7AAA7B5","SB23","2020 PRIMARY",
"C00668491","WILLIAM TIMMONS FOR CONGRESS",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"9A027FE28B0D01A3181","SB23","2020 PRIMARY",
"C00286187","THORNBERRY FOR CONGRESS COMMITTEE",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"EC3CD06073052A0932A","SB23","2020 PRIMARY",
"C00512202","PAUL COOK FOR CONGRESS",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"A2E9A40B9344C70E1E7","SB23","2020 PRIMARY",
"C00310532","KAY GRANGER CAMPAIGN FUND",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"FF2764458FB8049DE8C","SB23","2020 PRIMARY",
"C00460063","BILLY LONG FOR CONGRESS",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"2BA21408D490FB26D06","SB23","2020 PRIMARY",
"C00558213","DEBBIE DINGELL FOR CONGRESS",1000,"2019-01-28","DEM","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"1B0283833AE5B977D7F","SB23","2020 PRIMARY",
"C00492454","CORY GARDNER FOR SENATE",1000,"2019-01-28","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"152F037993061B6E4DA","SB23","2020 PRIMARY",
"C00436386","FRIENDS OF JOHN BARRASSO",2500,"2019-01-30","REP","C00039321","PEPSICO INC CONCERNED CITIZENS FUND",1316762,"BACC2FDDD292C4360A94","SB23","POLITICAL CONTRIBUTION",
"C00326363","MIKE THOMPSON FOR CONGRESS",2000,"2019-01-30","DEM","C00039321","PEPSICO INC CONCERNED CITIZENS FUND",1316762,"BA2C3687A5DDC4875881","SB23","POLITICAL CONTRIBUTION",
"C00640623","DOUG JONES FOR SENATE COMMITTE",2000,"2019-01-31","DEM","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B715732","SB23","CONTRIBUTION",
"C00666040","MCSALLY FOR SENATE INC",1000,"2019-01-31","REP","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B715733","SB23","CONTRIBUTION",
"C00640623","DOUG JONES FOR SENATE COMMITTE",500,"2019-01-31","DEM","C00479246","BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE",1343573,"B715731","SB23","CONTRIBUTION",
"C00518654","POLIQUIN FOR CONGRESS",-1000,"2019-01-31","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"92CABCB5173E3EDE201","SB23","VOIDED 4 26 18 DISBURSEMENT",
"C00577999","JIM BANKS FOR CONGRESS INC",-1000,"2019-01-31","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"174B745000B1994716F","SB23","VOIDED 7 31 17 DISBURSEMENT",
"C00441014","ROB WITTMAN FOR CONGRESS",-1000,"2019-01-31","REP","C00024869","GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE GEPAC",1331597,"E493002DCF3ABF017FD","SB23","VOIDED 6 23 17 DISBURSEMENT",
"C00420935","KEVIN MCCARTHY FOR CONGRESS",5000,"2019-02-05","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1319532,"B715937","SB23","CONTRIBUTION",
"C00532465","ROUNDS FOR SENATE",2500,"2019-02-05","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1319532,"B715936","SB23","CONTRIBUTION",
"C00202416","JOHN LEWIS FOR CONGRESS",1500,"2019-02-08","DEM","C00039321","PEPSICO INC CONCERNED CITIZENS FUND",1320011,"B2AEC090F68084251BC9","SB23","POLITICAL CONTRIBUTION",
"C00663781","TINA SMITH FOR MINNESOTA",1000,"2019-02-08","DEM","C00365122","VISA INC POLITICAL ACTION COMMITTEE",1319092,"F2867C1670E4CB34697","SB23","2020 PRIMARY",
"C00662767","CHIP ROY FOR CONGRESS",-1000,"2019-02-08","REP","C00369090","THE WENDYS COMPANY POLITICAL ACTION COMMITTEE",1318824,"B7AFC788A641B4EEFB1B","SB23","VOID OF 071918 POLITICAL CONTRIBUTION",
"C00200584","UPTON FOR ALL OF US",5000,"2019-02-11","REP","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1372374,"B643FA871F4B3756BDA","SB23","AS ORIGINALLY REPORTED ON THE MARCH 2019 MONTHLY",
"C00394957","SCALISE FOR CONGRESS",5000,"2019-02-11","REP","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1337720,"BE1031C7235E841F69D","SB23","2020 PRIMARY",
"C00200584","UPTON FOR ALL OF US",5000,"2019-02-11","REP","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1337720,"D55E89706BB66C640E3","SB23","2020 GENERAL",
"C00540617","FRIENDS OF DAVID SCHWEIKERT",2500,"2019-02-11","REP","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1337720,"1ECE187293C665A4884","SB23","2020 PRIMARY",
"C00311639","DIANA DEGETTE FOR CONGRESS INC",2500,"2019-02-11","DEM","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1337720,"EAFB8068CD2836BEED0","SB23","2020 GENERAL",
"C00492454","CORY GARDNER FOR SENATE",2500,"2019-02-11","REP","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1337720,"8E9A33E9E4A9FECB898","SB23","2020 PRIMARY",
"C00330142","LARSON FOR CONGRESS",1000,"2019-02-11","DEM","C00085316","CIGNA CORPORATION POLITICAL ACTION COMMITTEE",1337720,"BF591CA72764DE04CC6","SB23","2020 CONVENTION",
"C00437889","PETERS FOR MICHIGAN",5000,"2019-02-12","DEM","C00365122","VISA INC POLITICAL ACTION COMMITTEE",1319092,"62575414DEADA5C819A","SB23","2020 PRIMARY",
"C00503052","JEFFRIES FOR CONGRESS",2500,"2019-02-12","DEM","C00365122","VISA INC POLITICAL ACTION COMMITTEE",1319092,"2780F53C84067D5A0EE","SB23","2020 PRIMARY",
"C00226928","PALLONE FOR CONGRESS",2500,"2019-02-12","DEM","C00365122","VISA INC POLITICAL ACTION COMMITTEE",1319092,"C4905C3CBDD77441262","SB23","2020 PRIMARY",
"C00539825","CAPITO FOR WEST VIRGINIA",2500,"2019-02-12","REP","C00365122","VISA INC POLITICAL ACTION COMMITTEE",1319092,"616A65637D8E65D51EC","SB23","2020 PRIMARY",
"C00499988","COTTON FOR SENATE INC",5000,"2019-02-13","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1319532,"B717493","SB23","CONTRIBUTION",
"C00545673","BYRNE FOR CONGRESS",3000,"2019-02-13","REP","C00227546","MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE",1320044,"BC500F94C851CCEC439","SB23","2020 PRIMARY",
"C00545673","BYRNE FOR CONGRESS",2500,"2019-02-13","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1319532,"B717494","SB23","CONTRIBUTION",
"C00474189","MIKE KELLY FOR CONGRESS",2500,"2019-02-13","REP","C00364778","BANK OF AMERICA CORPORATION FEDERAL PAC",1319532,"B717492","SB23","CONTRIBUTION",
